En	O
vain	O
contre	O
l'	O
effort	O
d'	O
une	O
sanglante	O
guerre	O
,	O
Retranchés	O
sur	O
ce	O
mont	O
qui	O
semble	O
fuir	O
la	O
terre	O
,	O
Nous	O
défendons	O
l'	O
honneur	O
du	O
nom	O
Messénien	O
Si	O
le	O
démon	O
de	O
Sparte	LOC-B
est	O
plus	O
fort	O
que	O
le	O
sien	O
.	O
	
Il	O
triomphe	O
,	O
et	O
malgré	O
les	O
efforts	O
de	O
nos	O
armes	O
Après	O
tout	O
notre	O
sang	O
nous	O
arrache	O
des	O
larmes	O
.	O
	
Oui	O
,	O
Princes	O
,	O
en	O
l'	O
état	O
où	O
nous	O
réduit	O
le	O
sort	O
Où	O
le	O
moindre	O
malheur	O
est	O
celui	O
de	O
la	O
mort	O
.	O
	
À	O
l'	O
effroyable	O
objet	O
des	O
maux	O
qu'	O
on	O
nous	O
prépare	O
Je	O
sens	O
que	O
malgré	O
moi	O
ma	O
confiance	O
s'	O
égare	O
;	O
	
Et	O
je	O
ne	O
saurais	O
voir	O
qu'	O
avec	O
la	O
larme	O
à	O
l'	O
oeil	O
Toute	O
la	O
Messénie	LOC-B
au	O
bord	O
de	O
son	O
cercueil	O
.	O
	
Hélas	O
!	O
	
Pour	O
quel	O
forfait	O
,	O
pour	O
quel	O
crime	O
exécrable	O
Lui	O
faites-vous	O
,	O
grands	O
Dieux	O
,	O
un	O
sort	O
si	O
déplorable	O
?	O
	
Ou	O
pourquoi	O
si	O
ce	O
coup	O
ne	O
pouvait	O
s'	O
éviter	O
Attendiez-vous	O
mon	O
règne	O
à	O
le	O
faire	O
éclater	O
?	O
	
Dieu	O
du	O
mont	LOC-B
Ithomé	LOC-I
,	O
Dieu	O
de	O
toute	O
la	O
terre	O
Qui	O
souvent	O
de	O
ce	O
Temple	O
as	O
lancé	O
le	O
tonnerre	O
,	O
Souffres-tu	O
qu'	O
aujourd'	O
hui	O
tes	O
ennemis	O
mortels	O
Nous	O
viennent	O
égorger	O
au	O
pied	O
de	O
tes	O
Autels	O
?	O
	
Que	O
leur	O
Religion	O
dans	O
le	O
sang	O
étouffée	O
Renouvelle	O
à	O
tes	O
yeux	O
les	O
désordres	O
d'	O
Amphée	O
?	O
	
Et	O
que	O
Sparte	LOC-B
employant	O
le	O
fer	O
et	O
le	O
flambeau	O
De	O
ton	O
Temple	O
et	O
du	O
mont	O
fasse	O
un	O
ardent	O
tombeau	O
?	O
	
Est-ce	O
ainsi	O
puissant	O
Dieu	O
que	O
tu	O
nous	O
abandonnes	O
?	O
	
Messène	LOC-B
va	O
périr	O
puisque	O
tu	O
nous	O
l'	O
ordonnes	O
;	O
	
Mais	O
notre	O
désespoir	O
se	O
mêlant	O
à	O
nos	O
coups	O
,	O
Ceux	O
qui	O
la	O
font	O
périr	O
,	O
périront	O
avec	O
nous	O
.	O
	
Vaillant	O
Aristodème	O
,	O
et	O
toi	O
mon	O
cher	O
Cresphonte	O
Que	O
l'	O
ennemi	O
jamais	O
n'	O
éprouva	O
qu'	O
à	O
sa	O
honte	O
,	O
Et	O
qui	O
sans	O
être	O
issu	O
du	O
sang	O
Messénien	O
,	O
De	O
Messène	LOC-B
pourtant	O
t'	O
es	O
rendu	O
le	O
soutien	O
;	O
	
Prévenez	O
avec	O
moi	O
la	O
cruelle	O
disgrâce	O
Dont	O
depuis	O
si	O
longtemps	O
le	O
destin	O
nous	O
menace	O
;	O
	
Et	O
pour	O
ne	O
pas	O
nous	O
voir	O
honteusement	O
soumis	O
S'	O
il	O
faut	O
tomber	O
,	O
tombons	O
avec	O
nos	O
ennemis	O
.	O
	
N'	O
aggravez	O
pas	O
,	O
Seigneur	O
,	O
les	O
malheurs	O
de	O
Messène	LOC-B
,	O
Bien	O
que	O
le	O
Ciel	O
sur	O
elle	O
ait	O
déployé	O
sa	O
haine	O
,	O
Après	O
les	O
grands	O
exploits	O
qu'	O
a	O
faits	O
votre	O
valeur	O
Elle	O
peut	O
hardiment	O
défier	O
le	O
malheur	O
:	O
Et	O
tant	O
que	O
votre	O
bras	O
soutiendra	O
sa	O
querelle	O
Si	O
Sparte	LOC-B
ne	O
fléchit	O
la	O
guerre	O
est	O
immortelle	O
,	O
Du	O
superbe	O
sommet	O
de	O
ce	O
mont	O
orgueilleux	O
Le	O
mal	O
qu'	O
ils	O
nous	O
ont	O
fait	O
retombera	O
sur	O
eux	O
.	O
	
Nous	O
le	O
renverserons	O
dessus	O
leurs	O
propres	O
têtes	O
,	O
De	O
ces	O
lieux	O
élevés	O
partiront	O
les	O
tempêtes	O
,	O
Dont	O
les	O
traits	O
par	O
nous-même	O
heureusement	O
conduits	O
Les	O
réduiront	O
bientôt	O
où	O
nous	O
sommes	O
réduits	O
.	O
	
Aristodème	O
,	O
perds	O
cette	O
espérance	O
vaine	O
,	O
Juge	O
plus	O
sainement	O
des	O
malheurs	O
de	O
Messène	LOC-B
,	O
Et	O
sache	O
qu'	O
ils	O
sont	O
tels	O
que	O
pour	O
borner	O
leur	O
cours	O
Les	O
Dieux	O
ont	O
trop	O
longtemps	O
différé	O
leur	O
secours	O
.	O
	
À	O
peine	O
ils	O
le	O
pourraient	O
de	O
puissance	O
absolue	O
,	O
Mais	O
déjà	O
dans	O
le	O
Ciel	O
sa	O
perte	O
est	O
résolue	O
.	O
	
Les	O
prodiges	O
sanglants	O
qui	O
nous	O
ont	O
menacés	O
Nous	O
font	O
voir	O
contre	O
nous	O
tous	O
les	O
Dieux	O
courroucés	O
.	O
	
Tout	O
le	O
monde	O
a	O
tremblé	O
sous	O
un	O
coup	O
de	O
tonnerre	O
,	O
Cent	O
fantômes	O
hideux	O
se	O
sont	O
levés	O
de	O
terre	O
,	O
Et	O
remplissant	O
ces	O
lieux	O
de	O
tristesse	O
et	O
d'	O
effroi	O
Androcle	O
et	O
ses	O
amis	O
ont	O
paru	O
devant	O
moi	O
.	O
	
Tel	O
qu'	O
alors	O
qu'	O
opposant	O
sa	O
puissance	O
Royale	O
À	O
la	O
guerre	O
qu'	O
il	O
crût	O
à	O
son	O
pays	O
fatale	O
,	O
Beaucoup	O
plus	O
fort	O
que	O
lui	O
,	O
quoiqu'	O
en	O
un	O
même	O
rang	O
,	O
Mon	O
père	O
Antiochus	O
la	O
signa	O
de	O
son	O
sang	O
.	O
	
L'	O
heure	O
vient	O
,	O
m'	O
a-t-il	O
dit	O
,	O
où	O
le	O
Ciel	O
délibère	O
De	O
me	O
venger	O
sur	O
toi	O
du	O
crime	O
de	O
ton	O
père	O
.	O
	
Mais	O
las	O
!	O
	
Par	O
des	O
rigueurs	O
que	O
j'	O
ai	O
peine	O
à	O
souffrir	O
Toute	O
la	O
Messénie	LOC-B
avec	O
toi	O
doit	O
périr	O
.	O
	
À	O
ces	O
mots	O
il	O
se	O
perd	O
dans	O
le	O
